Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
65.28,180.12,37.69,um,Surface,Position,10,1000000026,402
244.77,311.94,45.67,um,Surface,Position,10,1000000027,413
204.78,335.27,43.86,um,Surface,Position,10,1000000028,412
247.14,350.83,41.68,um,Surface,Position,10,1000000029,414
192.58,291.28,58.72,um,Surface,Position,10,1000000030,422
19.93,151.65,49.36,um,Surface,Position,10,1000000031,417
126.35,77.04,52.21,um,Surface,Position,10,1000000032,416
288.41,200.99,60.1,um,Surface,Position,10,1000000033,421
343.85,60.81,60.76,um,Surface,Position,10,1000000034,423
169.82,191.17,52.3,um,Surface,Position,10,1000000035,418
139.18,197.97,58.31,um,Surface,Position,10,1000000036,420
290.52,317.67,18.15,um,Surface,Position,10,1000000037,396
71.58,384.45,21.7,um,Surface,Position,10,1000000038,398
386.53,231.08,28.45,um,Surface,Position,10,1000000039,9938
175.78,375.31,37.07,um,Surface,Position,10,1000000040,409
132.61,107.86,3.3,um,Surface,Position,10,1000000041,382
140.47,218.65,23.27,um,Surface,Position,10,1000000042,399
267.84,297.97,52.98,um,Surface,Position,10,1000000043,419
354.33,157.59,25.68,um,Surface,Position,10,1000000044,404
227.59,51.09,47.59,um,Surface,Position,10,1000000045,9939
3.67,261.52,5.34,um,Surface,Position,10,1000000046,386
211.75,353.7,24.26,um,Surface,Position,10,1000000047,400
116.57,5.29,7.92,um,Surface,Position,11,1000000000,424
294.89,73.99,8.74,um,Surface,Position,11,1000000001,425
343.66,130.65,15.67,um,Surface,Position,11,1000000002,438
186.84,138.02,10.97,um,Surface,Position,11,1000000003,427
261.07,214.1,9.68,um,Surface,Position,11,1000000004,428
336.54,259.11,17.2,um,Surface,Position,11,1000000005,439
80.18,272.04,4.56,um,Surface,Position,11,1000000006,430
100.27,290.93,18.68,um,Surface,Position,11,1000000007,436
265.43,317.95,8.63,um,Surface,Position,11,1000000008,437
323.14,323.3,6.2,um,Surface,Position,11,1000000009,431
66.39,329.54,3.62,um,Surface,Position,11,1000000010,432
167.48,335.6,5.62,um,Surface,Position,11,1000000011,433
368.4,355.99,3.16,um,Surface,Position,11,1000000012,434
265.31,381.34,18.6,um,Surface,Position,11,1000000013,435
240.79,5.38,19.01,um,Surface,Position,11,1000000014,442
74.27,139.41,25.08,um,Surface,Position,11,1000000015,444
317.3,91.87,27.63,um,Surface,Position,11,1000000016,451
245.82,126.81,29.17,um,Surface,Position,11,1000000017,454
195.59,44.63,41.03,um,Surface,Position,11,1000000018,460
25.1,212.41,28.36,um,Surface,Position,11,1000000019,446
266.46,131.86,28.21,um,Surface,Position,11,1000000020,452
25.41,172.28,18.3,um,Surface,Position,11,1000000021,441
355.93,242.02,46.16,um,Surface,Position,11,1000000022,459
10.77,28.25,26.47,um,Surface,Position,11,1000000023,447
106.32,382.78,55.34,um,Surface,Position,11,1000000024,466
317.35,173.21,32.93,um,Surface,Position,11,1000000025,456
64.25,182.46,41.77,um,Surface,Position,11,1000000026,455
245.41,311.66,46.64,um,Surface,Position,11,1000000027,462
205.08,335.46,42.1,um,Surface,Position,11,1000000028,458
248.71,348.86,40.54,um,Surface,Position,11,1000000029,461
194.18,290.85,57.86,um,Surface,Position,11,1000000030,469
19.48,153.12,48.4,um,Surface,Position,11,1000000031,463
126.29,78.1,53.39,um,Surface,Position,11,1000000032,467
286.7,200.81,60.33,um,Surface,Position,11,1000000033,471
344.9,61.82,60.91,um,Surface,Position,11,1000000034,472
169.39,188.92,53.57,um,Surface,Position,11,1000000035,468
