Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
104.23,83.45,25.62,um,Surface,Position,7,1000000022,312
212.51,221.7,18.32,um,Surface,Position,7,1000000023,290
245.06,254.62,21.51,um,Surface,Position,7,1000000024,310
221.17,358.47,26.55,um,Surface,Position,7,1000000025,311
252.93,156.55,29.04,um,Surface,Position,7,1000000026,314
83.64,332.44,26.93,um,Surface,Position,7,1000000027,309
359.85,224.47,20.4,um,Surface,Position,7,1000000028,305
89.99,5.5,30.93,um,Surface,Position,7,1000000029,315
4.04,256.65,37.39,um,Surface,Position,7,1000000030,320
219.2,270.54,31.46,um,Surface,Position,7,1000000031,317
312.97,192.76,44.62,um,Surface,Position,7,1000000032,319
16.12,221.55,39.32,um,Surface,Position,7,1000000033,318
131.75,262.24,44.94,um,Surface,Position,7,1000000034,324
164.57,191.11,43.3,um,Surface,Position,7,1000000035,322
384.07,77.32,48.91,um,Surface,Position,7,1000000036,327
255.67,90.19,44.95,um,Surface,Position,7,1000000037,326
120.96,58.16,48.38,um,Surface,Position,7,1000000038,325
172.7,233.24,55.89,um,Surface,Position,7,1000000039,329
100.68,180.12,61.28,um,Surface,Position,7,1000000040,331
28.53,192.34,57.68,um,Surface,Position,7,1000000041,330
66.68,311.58,60.59,um,Surface,Position,7,1000000042,332
300.45,289.35,39.29,um,Surface,Position,7,1000000043,323
94.67,212.87,5.92,um,Surface,Position,7,1000000044,289
245.48,124.74,22.75,um,Surface,Position,7,1000000045,308
240.83,138.67,32.89,um,Surface,Position,7,1000000046,313
308.68,225.33,28.36,um,Surface,Position,7,1000000047,316
65.76,10.6,38.35,um,Surface,Position,7,1000000048,321
183.22,383.89,52.26,um,Surface,Position,7,1000000049,328
157.19,136.18,62.4,um,Surface,Position,7,1000000050,333
106.5,300.26,62.41,um,Surface,Position,7,1000000051,334
3.28,17.08,3.16,um,Surface,Position,7,1000000052,280
57.89,230.29,2.31,um,Surface,Position,7,1000000053,291
1.8,380.34,10.37,um,Surface,Position,7,1000000054,298
358.96,14.18,15.04,um,Surface,Position,8,1000000000,336
253.26,23.84,11.98,um,Surface,Position,8,1000000001,354
82.5,87.91,5.73,um,Surface,Position,8,1000000002,339
370.14,123.37,9.95,um,Surface,Position,8,1000000003,341
362.87,257.85,7.27,um,Surface,Position,8,1000000004,347
9.69,266.39,7.57,um,Surface,Position,8,1000000005,348
272.38,276.98,3.64,um,Surface,Position,8,1000000006,350
64.45,267.96,7.83,um,Surface,Position,8,1000000007,349
287.51,345.43,5.5,um,Surface,Position,8,1000000008,351
33.9,379.65,5.84,um,Surface,Position,8,1000000009,353
47.55,150.83,26.84,um,Surface,Position,8,1000000010,364
126.9,23.85,10.44,um,Surface,Position,8,1000000011,338
58.89,30.87,9.69,um,Surface,Position,8,1000000012,337
245.65,71.2,16.67,um,Surface,Position,8,1000000013,356
328.11,101.52,13.32,um,Surface,Position,8,1000000014,340
175.56,64.88,15.86,um,Surface,Position,8,1000000015,355
143.97,108.77,20.26,um,Surface,Position,8,1000000016,359
113.95,170.49,10.54,um,Surface,Position,8,1000000017,342
336.36,192.01,18.32,um,Surface,Position,8,1000000018,357
128.37,352.4,18.86,um,Surface,Position,8,1000000019,362
369.63,83.9,21.01,um,Surface,Position,8,1000000020,358
307.65,372.12,23.19,um,Surface,Position,8,1000000021,363
104.3,83.37,25.48,um,Surface,Position,8,1000000022,365
209.6,220.6,16.06,um,Surface,Position,8,1000000023,344
241.23,258.03,19.98,um,Surface,Position,8,1000000024,361
228.31,356.99,28.78,um,Surface,Position,8,1000000025,367
255.52,156.61,28.63,um,Surface,Position,8,1000000026,370
80.82,331.79,29.19,um,Surface,Position,8,1000000027,366
359.39,224.75,20.18,um,Surface,Position,8,1000000028,360
89.47,5.57,31.01,um,Surface,Position,8,1000000029,371
4.57,255.44,38.16,um,Surface,Position,8,1000000030,377
219.21,270.43,32.48,um,Surface,Position,8,1000000031,373
313.88,191.88,45.1,um,Surface,Position,8,1000000032,375
17.36,221.04,39.97,um,Surface,Position,8,1000000033,374
130.66,260.99,45.43,um,Surface,Position,8,1000000034,379
164.53,191.64,44.6,um,Surface,Position,8,1000000035,378
382.7,77.57,51.26,um,Surface,Position,8,1000000036,383
255.04,90.85,42.8,um,Surface,Position,8,1000000037,381
120.07,60.21,49.54,um,Surface,Position,8,1000000038,382
171.44,234.06,56.06,um,Surface,Position,8,1000000039,384
100.59,179.64,61.3,um,Surface,Position,8,1000000040,387
27.85,191.33,58.92,um,Surface,Position,8,1000000041,386
68.39,310.1,60.8,um,Surface,Position,8,1000000042,388
299.83,289.42,41.45,um,Surface,Position,8,1000000043,380
92.7,214.62,5.42,um,Surface,Position,8,1000000044,343
248.11,126.18,24.83,um,Surface,Position,8,1000000045,368
239.92,138.86,32.22,um,Surface,Position,8,1000000046,369
310.47,224.24,28.45,um,Surface,Position,8,1000000047,372
63.14,11.3,39.1,um,Surface,Position,8,1000000048,376
183.83,383.33,54.16,um,Surface,Position,8,1000000049,385
151.3,134.99,62.37,um,Surface,Position,8,1000000050,389
109.08,300.4,62.06,um,Surface,Position,8,1000000051,390
3.97,14.31,3.52,um,Surface,Position,8,1000000052,335
57.4,232.15,1.81,um,Surface,Position,8,1000000053,345
2.87,379.38,9.54,um,Surface,Position,8,1000000054,352
169.18,258.69,4.22,um,Surface,Position,8,1000000055,346
27.03,166.84,63.56,um,Surface,Position,8,1000000056,391
359.34,13.78,15.54,um,Surface,Position,9,1000000000,394
252.56,22.27,11.88,um,Surface,Position,9,1000000001,395
82.28,86.6,6.93,um,Surface,Position,9,1000000002,396
369.99,123.68,9.77,um,Surface,Position,9,1000000003,398
362.97,257.81,6.97,um,Surface,Position,9,1000000004,404
9.11,266.27,8.46,um,Surface,Position,9,1000000005,406
271.62,275.83,3.43,um,Surface,Position,9,1000000006,407
65.48,264.59,8.38,um,Surface,Position,9,1000000007,405
285.98,344.57,6.45,um,Surface,Position,9,1000000008,408
34.81,379.17,6.99,um,Surface,Position,9,1000000009,410
47.11,149.4,28.49,um,Surface,Position,9,1000000010,421
128.63,23.83,12.39,um,Surface,Position,9,1000000011,411
57,29.67,10.22,um,Surface,Position,9,1000000012,393
245,71.14,18.95,um,Surface,Position,9,1000000013,413
327.95,101.22,13.12,um,Surface,Position,9,1000000014,397
175.28,64.66,15.96,um,Surface,Position,9,1000000015,412
143.69,111.12,20.4,um,Surface,Position,9,1000000016,416
107.2,168.09,11.4,um,Surface,Position,9,1000000017,399
335.6,190.46,18.18,um,Surface,Position,9,1000000018,414
128.07,351.93,19.41,um,Surface,Position,9,1000000019,417
372.26,83.29,20.31,um,Surface,Position,9,1000000020,415
308.88,372.26,23.57,um,Surface,Position,9,1000000021,418
